"","time","use..kW.","day","hour"
"428",2020-01-19 00:00:00,75.210250005,0,0
"429",2020-01-19 01:00:00,69.090450002,0,1
"430",2020-01-19 02:00:00,66.142149999,0,2
"431",2020-01-19 03:00:00,94.082383335,0,3
"432",2020-01-19 04:00:00,76.953650004,0,4
"433",2020-01-19 05:00:00,68.1635,0,5
"434",2020-01-19 06:00:00,75.330866667,0,6
"435",2020-01-19 07:00:00,82.177916667,0,7
"436",2020-01-19 08:00:00,84.674049998,0,8
"437",2020-01-19 09:00:00,76.916233331,0,9
"438",2020-01-19 10:00:00,84.229583333,0,10
"439",2020-01-19 11:00:00,81.558433335,0,11
"440",2020-01-19 12:00:00,100.685716663,0,12
"441",2020-01-19 13:00:00,108.054666668,0,13
"442",2020-01-19 14:00:00,111.271100002,0,14
"443",2020-01-19 15:00:00,45.012449998,0,15
"444",2020-01-19 16:00:00,36.7045,0,16
"445",2020-01-19 17:00:00,63.039800001,0,17
"446",2020-01-19 18:00:00,98.98665,0,18
"447",2020-01-19 19:00:00,85.53095,0,19
"448",2020-01-19 20:00:00,53.842499994,0,20
"449",2020-01-19 21:00:00,91.438316666,0,21
"450",2020-01-19 22:00:00,86.227983334,0,22
"451",2020-01-19 23:00:00,111.733316665,0,23
"452",2020-01-20 00:00:00,83.980766666,1,0
"453",2020-01-20 01:00:00,87.641283335,1,1
"454",2020-01-20 02:00:00,49.243266668,1,2
"455",2020-01-20 03:00:00,63.916566664,1,3
"456",2020-01-20 04:00:00,73.741683334,1,4
"457",2020-01-20 05:00:00,57.861383333,1,5
"458",2020-01-20 06:00:00,60.456216669,1,6
"459",2020-01-20 07:00:00,68.169416666,1,7
"460",2020-01-20 08:00:00,52.010366664,1,8
"461",2020-01-20 09:00:00,54.320416667,1,9
"462",2020-01-20 10:00:00,91.230266665,1,10
"463",2020-01-20 11:00:00,75.830649996,1,11
"464",2020-01-20 12:00:00,75.139766662,1,12
"465",2020-01-20 13:00:00,50.069883335,1,13
"466",2020-01-20 14:00:00,42.66081667,1,14
"467",2020-01-20 15:00:00,19.507566668,1,15
"468",2020-01-20 16:00:00,27.929849996,1,16
"469",2020-01-20 17:00:00,14.702733336,1,17
"470",2020-01-20 18:00:00,5.319583329,1,18
"471",2020-01-20 19:00:00,28.650116663,1,19
"472",2020-01-20 20:00:00,19.928616665,1,20
"473",2020-01-20 21:00:00,78.551133329,1,21
"474",2020-01-20 22:00:00,84.4814,1,22
"475",2020-01-20 23:00:00,98.872799999,1,23
"476",2020-01-21 00:00:00,81.119116665,2,0
"477",2020-01-21 01:00:00,61.223050002,2,1
"478",2020-01-21 02:00:00,64.842616666,2,2
"479",2020-01-21 03:00:00,46.885416665,2,3
"480",2020-01-21 04:00:00,52.315166667,2,4
"481",2020-01-21 05:00:00,63.403916663,2,5
"482",2020-01-21 06:00:00,44.813000003,2,6
"483",2020-01-21 07:00:00,54.177966667,2,7
"484",2020-01-21 08:00:00,52.722249999,2,8
"485",2020-01-21 09:00:00,45.622050001,2,9
"486",2020-01-21 10:00:00,85.906583332,2,10
"487",2020-01-21 11:00:00,60.518183332,2,11
"488",2020-01-21 12:00:00,58.8544,2,12
"489",2020-01-21 13:00:00,46.822800001,2,13
"490",2020-01-21 14:00:00,29.637699998,2,14
"491",2020-01-21 15:00:00,42.386883331,2,15
"492",2020-01-21 16:00:00,18.279066667,2,16
"493",2020-01-21 17:00:00,10.3836,2,17
"494",2020-01-21 18:00:00,22.610266664,2,18
"495",2020-01-21 19:00:00,27.142133301,2,19
"496",2020-01-21 20:00:00,48.162283334,2,20
"497",2020-01-21 21:00:00,92.163466665,2,21
"498",2020-01-21 22:00:00,70.136350001,2,22
"499",2020-01-21 23:00:00,75.519816665,2,23
"500",2020-01-22 00:00:00,85.104583333,3,0
"501",2020-01-22 01:00:00,83.13515,3,1
"502",2020-01-22 02:00:00,61.295750001,3,2
"503",2020-01-22 03:00:00,58.373716667,3,3
"504",2020-01-22 04:00:00,55.984316668,3,4
"505",2020-01-22 05:00:00,49.865950001,3,5
"506",2020-01-22 06:00:00,66.454650001,3,6
"507",2020-01-22 07:00:00,46.001100001,3,7
